a|to, towards, at
klauzio|conditions of contract
klauzo; —kayo|clause; conditions of contract
klavayo|typescript
klavel|harpsichord, clavichord
klaven|)
klaver; —in|typist,
klavi|to typewrite, to type
klavikol|)
klavil|typewriter, —ting machine
klavin|typist
klavo; —ial|typing, typewriting; —mistake
klel; —ist|lock; locksmith
klemenso; —enta|clemency; clement
klerka; —ismo|clerical; —ism
klerko; —io|clergy
klev; —a|cleverness; clever, intelligent
klevol; —a; —e|cunning n; a; —ly
klezo; —a; —ye|church; of the —; at, to the-
klil; —i|key; to lock
klim; —a|climate; —ric
klin; —a; —i|slope, declivity; sloping, leaning a; to lean, to bend, to slope
klinel|propensity, fondness, hankering
klineso|declivity
klinik; —ye|clinic; at, to the —
klink; —i|clink; to —
klip|clip
klir|clerk
kliring|clearing
klis(o); —i|)
klish|plate, cliche
klivi; —o; —er|to cleave; —ing, —age, —er
klizel|splint
kloak|cloaca
klod; —i|nail; to —, to — up
klodapaso|pedestrian crossing
klok; —i; —aro|bell; to ring (a bell); bell-tower, church-tower
klokel|)
klon; —ado; —i|clown; —ing
klor; —a; —ato|chlorine; chloric; chlorate
kloridra; —to|chlorhydric; —drate
klorur|chloride
klos(o)|(med.
klostro; —i; —azo|cloister; to —; claustration, cloistering
kloza; —i; —o|closed, shut; to close, to shut; closing, shutting
klozet|water-closet
klozoyo|wardrobe, cupboard,
klozum|paddock, corral
klum|anvil
klumpi|to clump, to tramp
kluzo; —er|sluice, —gate, lock, —gate; sluice-guardian
kmnod; —io|comedy
ko|what
koagul; —azo; —i|coagulation; to-late. to congeal, to clot
koalizo|coalition
koautor|joint author
kobalt|cobalt
koc; —er|coach; —man
kocol|perambulator, pram
kod; —a|code; —'s
kodarda; —eso|coward; —ice
kodlo; —a|tail; caudal
koeficent|coefficient
koerenso; —enta|coherence; —rent
koexisto; —a|coexistence; —ent
kof; —i|purchase; to —; buy; to —
kofel|purchase; —
kofraro, kofruyo|boot
kofro; —on|case, chest; coffer, safe;
koincidi; — (o)|to coincide; —ence
kok; —i|cooking, baking; to cook, to bake, to boil
kokain|cocaine
kokanyo|plenty; —
kokardo|cockade
koketa; —eso|coquettish; coquetry
koklush|(whooping-), hooping-cough
kokon; —ye|cocoon; in clover;
kokorik|crow, cock's cry
kokpit|cockpit
kokro; —i|coke; to —
koktel; —en|cocktail; — dress
kol|with the
kolabor; —i; —er|collaboration; to —rate; —rator
kolan|collar, necklace
kolapso; —i|(med.
kolbo|retort
kold(o); —i|cold; to catch, to have a —
kolego; —gin|colleague
kolejer; —fin|college student
kolejo|college
kolektiva; —eyo|collective; —ity
kolekto|collection, —ecting;
kolel|collar
koleryo; —ya|cholera; —aic
kolesterol|cholesterol
kolex; —i; —er|collection; to collect; —or
kolgadi|to gather     [-ing
kolgi; —o|to pick, to pluck, to gather;
kolibacil|colon bacillus
kolid; —i|collision, to collide
kolik|colic
kolir|collyrium, eye-wash
kolizyon; —i|collision, shock; to collide
kolma; —o|heaped up, full; summit, height, acme
kolnaqo|eau de Cologne
kolnel|colonel
kolo; —a|neck; cervical
kolombo; —uyo|dove; — cot
kolon|colonist
kolonyo; —yalismo|colony; —ialism
kolor; —a; —at; —i|colour; —ed; to —
koloraqo|whitewash; to —
kolorel|complexion, colour
koloso —a|colossus; —ossal
kolpo; —i|blow; to —, to strike, to hit
kolporti; —er; —o|to hawk, to peddle; hawker, peddlar; —ing
kolt|colt, piston
kolto; —a; —at; —i|cultivation; —ated; to —ate
koltomedo|culture medium
kolubro|grass-snake, snake
kolud; —i|collusion; to collude
kolum|column
kom|how
komatro|fellow-sponsor f; tattler f
kombini; — (o)|to combine; —ation
kombro; —i|cumbersomeness, cumbrousness, congestion; to encumber
kombustibla|combustible
komeda; —ist|comic
komemor; —i|commemoration; to —ate
komena|common, vulgar, ordinary
koment; —i|comment; to —
komerco; —a|commerce; —ial; trade
komestibla|comestible; eatable, edible
komet|comet
komika|comical, funny
komisar; —ado|commissary; policestation; superintendence
komiseyo; —syon|commission, board, committee;
komiteo|committee;
komiti|to commit
komoda; —eso; —ayo|convenient, handy, suitable, comfortable; convenience, comfort; conveniences
komodel|chest of drawers, commode
komov|commotion; concussion
kompakta|compact
kompan; —io|companion; company
kompani; —ist; —azo|to accompany, —ist, —iment
kompari; —o|to compare; —arison
komparsi; —o|to appear; —ance
kompaso|compass, —es
kompatro|fellow sponsor n; fellow, crony
kompet; —er; —i|competition; —or; to compete; contest
kompetenso; —enta|competence; —ent
kompili; —(o); —er|to   compile; —ation; —ator
komplazo; —a|complaisance; —ant
komplement; —a|complement; —ary
kompleta; —e|complete; —ly
komplex; —a|complex n; a
komplexeso|complexity
komplic; —a; —eso|accomplice n. a; complicity
komplik; —i|complication; to —icate
kompliment; —i —a|compliment; to —; —ary
komplot; —i|plot; to —, to scheme
kompon; —i|composition; to compose
komporti|to comprise, to include
kompot; —a|compote, stewed fruits; stewed
kompren; —i|understanding
komprenemo; —a|understanding n. a, goodwill n. a
kompres; —i|compression; to compress
kompresal|(
kompresel|tabloid, tablet, lozenge
komprom; —i|compromise; to —
kompromado; —i|compromising n; to compromise
kompungo; —a|compunction; with —
komuna; —e|common; in —
Komunado; —i|Communion; to take the Holy Communion
komuneyo; —ya|community; of the —
komungrab|common grave, pauper's grave
komunik; —el; —i|communication; report, communique; to —icate
komunismo; —ist(a)|communism; —ist
komunlogo|commonplace
komunnam|common noun
komunsenso|common sense
komunyo; —ya|common n; communal
komyo; —ya; —ye|coma; comatose; in a coma
kon|with
konado; —i|announcement; to announce
konboeltros; konbomatro; konbopatro|related parents; — mother; — father
konced; —i|concession; to concede
koncentri; —o|to concentrate; —ation
koncentrokamp|concentration camp
koncep; —i|conception; to conceive
koncerne|concerning
koncerni|to concern, to interest
koncert; —al|concert; concerto
koncil; —a|council; conciliar
koncisa; —eso|concise; —ision
koncistor|consistory
kondan; —i|sentence, condemnation; to
kondensi; —o; —azo|to condense; —ation
kondis; —a; —ye|condition; —al; on condition that
kondo; —i|seasoning, condiment; to season
kondol; —i|condolence, sympathy; to express —
konduk; —i|behaviour; to behave
konel|acquaintance
koneli|to make someone's acquaintance
konex|connection
konfed; —a; —i|confederation; —ated; to —ate
konfel; —io|sweet, bonbon,
konferenso|conference
konfes|confession
konfesado; —i|confession; to confess
konfesaryo|confessor
konfesi|to confess
konfesyon|religion
konfid; —a; —i|confidence, reliance, trust; trustworthy; to trust
konfidenso; —a; —i|confidence; —ential: to confide
konfin; —i|confines, borders, boundary; to confine, to adjoin
konfirmi; —o|to confirm; —ation
konfiski; —o|to confiscate; —ation
konfitur|jam
konflagro|conflagration
konflit; —i|conflict; to —, to be at strife
konfolgo|consistency
konforma; —i; —eso|conformable, in conformity with; to conform; —ity
konforme|accordingly, in conformity with
konfort; —a|comfort; —ble
konfrat; —a|confrere, colleague; bro- therly, fraternal
konfuzo; —i|confusion; to confound
konged; —i|leave, dismissal; to dismiss
kongestyon|congestion
Kongo; —a|Congo; —lese
kongratul; —i|congratulation; to —ate
kongres; —a; —ist|congress; —man
koni; —o|to know; knowledge
koniuntur|conjuncture
koniutil|commutator, switch
konjektur|conjecture
konjugi; —o|to conjugate; —ation
konkava|concave
konkir; —i; —er|conquest; to conquer; conqueror
konklav; —a|conclave; of the —
konklud; —i|conclusion; to conclude
konko|conch
konkreta; —i|concrete; to —ize
konkubo; —in|concubine
konkurent; —enso|competitor; —ition
konkurso; —i|competition; to compete
konluker|joint tenant
konmultipla|common multiple
kono|knowledge
konril; —a|correlation; —ative
konsegni; —o|to deposit, to consign; deposit, consignment
konsek; —a; —e|consequence; —quent; —ently
konseki|to result, to ensue, to follow
konsel; —i; —er|advice; to advise; counsellor, adviser
konseleyo|council
konsen; —at|orders, instructions;
konsent; —i|consent; to —
konservator; —a|academy,
konservo; —i|preserve,
konsha; —o|conscious; —ness
konshenso; —a|conscience; —ous
konsideri|to consider
konsil; —i|conciliation;
konsisti; —o|to consist; —ency
konsol; —i|consolation; to console, to comfort
konsom; —i|consumption
konson; —a|consonance; —ant
konsonel|consonant
konsor|colleague f, sister-member
konsort|consort
konspir; —i|conspiracy; to conspire
konspozo; —in|consort, partner
konstanta; —anso|constant; —ancy
konstat; —i|ascertainment; to ascertain
konstel|constellation
konsterni; —o to|dismay,
konstip; —a|constipation, —ated; costiveness, costive
konstituo; —a; —ui—ue|constitution, constitutional, to constitute, to set up, —lly
konstrui; —uo|to construct; —uction
konsul; —a; —ado|consul; —ar; —ate
konsult; —i|consultation; to consult
konsum; —i|consummation, decline; to consume, to achieve, to burn up
kont|account
kontablist; —lio|book-keeper, accountant; book-keeping
kontado|detailed account
kontago; —a|contagion; —agious
kontakt(o); —i|contact; to —
kontamin; —i|contamination; to —inate
kontarsi|to realize, to grasp
kontemno; —i|contempt; to despise
kontemplo; —i|contemplation; to —ate
konten; —i|contents; to contain; —
kontendo; —a|dispute; contention; —ious, litigious; —
kontengo; —a|continence; —ent
kontent; —a; —i|content, satisfaction; satisfied; to content, to satisfy
kontest; —i|contestation; to contest
kontexto|context
konti|to reckon, to count
kontigua; —ueso|contiguous; —guity
kontihent; —a|continent; —al
kontil, kontingo|adding-machine, calculating-machine
kontingent|contingent
kontinua; —ueso|continuous; —nuity
kontinui|to continue, to go on
kontor|office, department
kontordi; —o; —ist|to contort, —ortion, [-ortionist
kontorendo; —i|report, review; to account, to report, to review
kontra; —e|contrary; against
kontrak; —i|contraction; to contract
kontrakto; —i; —a|contract; to —, to enter into; contractual
kontral; —a; —ifa; —i|annoyance; trying, vexatious; to annoy, to baffle
kontrast; a; —i|contrast; —ing a; to —
kontrax; —i; —ibla|contraction; to contract; —ible
kontre|against
kontreaviso|counter-order;
kontreband; —er; —i|contraband, smuggling; smuggler; to smuggle
kontredici; —o|to contradict; —iction
kontrefi; —er; —o|to counterfeit, to forge, to falsify; forger, counterfeiter; counterfeiting
kontrekontrol; —i|countercheck, to —
kontrekora; —e|unwilling, —ly; reluctant, —ly
kontrekoryere|by return of post
kontreltan|counterpart;
kontrelto; —a|opposite side; of the — —
kontrelume|half-light, against the light
kontreopin|counter-opinion
kontrepezo; —i|counterbalance, to —
kontreprojlekto|counter-project
kontrepunt|counterpoint
kontrerivolvo; —a|counter-revolution; —ary
kontresigno; —i|countersignature, to —sign
kontretempa; —e|unseasonable; —ly; inopportune; —ly
kontreven; —i|contravention, to —vene
kontreveo|; counter-side; wrong side
kontrevola; —e|unwilling; —ly
kontrib; —i|contribution; to —bute
kontrit; —a|contrition, contrite
kontro; —i|double; to —
kontrol; —i; —er|control; to —; —oiler, inspector
kontrot|counterfoil
kontroverso; —a|controversy; —ing
kontumax; —a|contumacy; —acious
kontundo; —a; —i|contusion; —used, usive; to —use
konven; —a; —i|suitability, conve- nience; —ent, becoming; to suit, to be suitable
konvenso; —i|convention, agreement; to agree
konvent; —ye|convent; to, at —
konvergi; —a; —o|to converge; —ent; —ence, —ency
konversi; —o|to talk, to converse; conversation
konverto; —i|to convert; —ersion
konvo; —i|coinage, mintage; to coin
konvok; —i|convocation; to summon, to convoke
konvulso; —a|convulsion; —sive
konyo; —ya|cone; conic(al)
kooperativ; —a|co-operative
kooperi; —o|to cooperate; —ation
koordi; —o|to co-ordinate; —ation
kop; —i|copy; to —
koperko; —i|lid, cover
koplo; —i|couple; to —
koporek|copyright
koprel|blanket
kopri; —o|to cover; —
koprol|jacket
kopyo|cup, beaker
kor; —a; —e|heart; —y; —ily
korago; a; —i|courage; —ous; to encourage
koral|coral
koralgo|heart-ache
Koran; —a|Koran; —ic
korbel|basket, paper —
korbo|basket
korco|strap, belt
kordo; —orio; —i|rope, cord; rope-factory; to rope
kordon|string, tape
kordyala|hearty
koregro; —a|heart-disease; suffering of —
korek|(med.
korekta; —eso|correct; —ness
korent|current, stream, draft
korespondo; —i; —ent|correspondance; to —pond; —ondent
korexal|correctional   court;
korexo; —i|correction; to correct
korgo; a; —e|chorus;
koridor|corridor
korispi|to correspond to, to be equivalent to
korko; —i; —il|cork- to —; —screw
kormoran|cormorant
kornel; —i|horn; to blow a —
kornico|cornice
kornifli; —er|to cadge, to scrounge; —er
korno; —a|horn; —y, corneous
kornon|cornet
kornuk|antler
kornul|cone, cornet
korod; —i|corrosion; to corrode
korol|corolla
korolaryo|corollary
korompi; —o|to corrupt; —ion
koron; —i|crown; to —
koronar; —a|coronary
koronazo|coronation
korozo|corozo, vegetable ivory
korpo; —a; —oza|body; —ly, corporeal; corpulent, stout
korpusklo; —a|corpuscule, —ar
korse|in the course of
korsel; —in|corset; — maker
Korsik; —a|Corsica, —an
korslet|corselet
korso; —i; —a|course; to be current, to be in circulation; current
kort; —a|court; of the court
kortal; —i|courtship, court; to court
kortejo; —i|procession; to —
kortel|courtyard
korteza; —ezio|courteous; —esy; urbane; —anity
kortik|bark, peel, rind
kortist; —in, kortin|courtier; courtesan
korvet(yo)|corvette
korvo|crow, raven
koryer|mail
kosh; —a|thigh; crural
kosko; —eyer|coconut; — palm, — tree
koslo; —a|snail; spiral, corkscrew
kosmetik; —a|cosmetic
kosmo; —a|cosmos; cosmic
kosmograf; —a; —io|cosmographer; —aphic; —aphy
kost(o); —i; kan —ar?|cost; to —; what is the price ?
kostel; —et|rib; cutlet, chop
kostelal|corduroy (fabric)
kostoza|expensive, dear
kostum; —i|costume; to —, to dress
kot; —i|cut, cutting
kotej|cottage
kotil; —el|knife; p
kotilio|cutlery
kotilon|cutlass
kotipapel|paper-knife
koton; —a|cotton
kotro; —i; —azo|cautery; to —rize; —ization
kov; —i|brooding
kox; a; —it; —algio|hip, haunch; coxal; coxalgia
kozak|cossack
kozo|thing
kozos|things, belongings
kozul|gewgaw, bagatelle, trifle
krab|crab
krak; —i|crash, collape; to —
kral; —i|crawl
kramp; —i|cramp; to —
kran; —a|skull, cranium; cranial
kranso; —i|garland; to —
kras; —a|to-morrow; —'s
krash; —i|crash, to —
krasmatin; —a|to-morrow morning; —'s
krasser; —a|to-morrow evening; —'s
krasyo; —a|next day; of the —
krato; —a|crate; —ed
kravat|tie, neck-tie
kreansal; —i|credentials; to accredit
kreanso; —er|credit; —or
kred; —o; —i|belief; to —ieve
kredal|faith, credence
kredibla|credible, believable, trustworthy
krei; —eo; —er|to create; —ation; —ator
krem; —a; —er|cream; creamed; creamy; dairyman, dairy-keeper
kren; —ye|screen; on the —
krep; —i|puncture, bursting
krepel; —i|crack, split, fissure; to —
krepon; —i|crack; to —
krepusklo; —a|twilight; crepuscular
kreski; —o|to grow; growth
kreson|cress, watercress
krespel|pancake
